a@gmail.com,Макаров Дмитрий Созонович,1
b@gmail.com,Фокин Овидий Романович,1
c@gmail.com,Лапин Климент Вениаминович,1
d@gmail.com,Попов Матвей Викторович,1
ab@gmail.com,Дмитриев Владлен Владленович,1
abфsd@gmail.com,Калинина Аксинья Витальевна,2
aasb@gmail.com,Суханова Эмма Феликсовна,2
bab@gmail.com,Костина Нора Христофоровна,2
aasqr12b@gmail.com,Афанасьева Гелена Серапионовна,2
a3ab@gmail.com,Петрова Янита Геннадиевна,2
asdqw@gmail.com,Копылова Санта Митрофановна,3
qwew@gmail.com,Павлова Дебора Артёмовна,3
gjfgfg@gmail.com,Кулакова Ядвига Геннадиевна,3
erht@gmail.com,Ершова Анжела Юлиановна,3
er3t@gmail.com,Трофимова Рамина Павловна,3
